,total_score,Sc,Sc_int_area,complex_normalized,dG_cross,dG_cross/dSASAx100,dG_separated,dG_separated/dSASAx100,dSASA_hphobic,dSASA_int,dSASA_polar,ddg,delta_unsatHbonds,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_E_fraction,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,hbonds_int,lk_ball_wtd,nres_all,nres_int,omega,p_aa_pp,packstat,per_residue_energy_int,pro_close,rama_prepro,ref,sc_value,side1_normalized,side1_score,side2_normalized,side2_score,binding,cluster
35,-1581.746,0.654,2170.526,-2.557,-102.832,-3.157,-85.25,-2.617,2139.16,3256.995,1117.835,-74.15899999999999,12.0,-5.727,-3851.309,985.222,-1073.608,7.286,137.37,458.889,2267.259,0.144,-143.247,-156.526,-87.404,-187.465,13.0,-101.188,625.0,131.0,47.793,-114.113,0.0,-2.658,4.777,100.037,130.208,0.65,-2.341,-180.245,-3.11,-167.938,1,1
36,-312.506,0.7,847.503,-2.22,-60.17100000000001,-3.602,-58.728,-3.516,1100.648,1670.296,569.648,-57.084,4.0,-10.614,-702.58,154.438,-188.954,1.1909999999999998,22.016,74.982,419.287,0.165,-21.487,-31.109,-11.722,-31.46,6.0,-21.518,142.0,59.0,10.534,-37.619,0.0,-3.139,6.14,-22.285,78.253,0.6920000000000001,-2.749,-71.482,-3.446,-113.728,1,0
37,2273.389,0.652,1404.096,4.051,-77.27199999999999,-3.234,-66.447,-2.781,1352.424,2389.144,1036.72,-57.455,13.0,-4.4910000000000005,-3250.757,764.82,-944.503,5.627999999999999,111.493,4124.21,1977.413,0.2339999999999999,-109.786,-144.968,-66.437,-176.486,12.0,-85.288,559.0,84.0,24.497,-122.331,0.0,-3.153,5.047,10.335,154.993,0.642,-3.31,-172.106,-2.897,-92.712,1,1
38,954276.502,0.044,5889.804,177.835,0.0,0.0,119067.391,1186.427,5616.984,10035.794,4418.81,132217.344,11.0,0.0,-32402.851,13066.531,-5005.019,89.391,1447.839,955350.564,24055.43,0.0,-439.961,-336.898,-187.51,-1760.639,72.0,-831.0319999999999,5286.0,64.0,581.188,-632.4119999999999,0.0,247.193,48.407,1228.999,4.474,0.3989999999999999,352.25,13033.239,103.227,2787.126,1,0
39,-1254.5410000000002,0.674,3710.787,-2.733,-182.909,-2.912,-145.463,-2.316,3464.011,6281.922,2817.911,-100.147,34.0,0.0,-2897.613,693.4119999999999,-831.3960000000001,5.891,100.891,313.124,1824.149,0.245,-114.596,-91.716,-73.461,-169.514,33.0,-77.316,483.0,198.0,27.2,-77.796,0.0,-2.511,4.079,15.738,94.383,0.68,-3.087,-441.419,-1.012,-55.664,1,1
40,-779.404,0.7490000000000001,1693.739,-2.829,-99.999,-3.969,-92.25,-3.662,1895.055,2519.381,624.326,-83.855,0.0,0.0,-1719.509,340.329,-540.876,3.244,57.722,178.77200000000002,1101.944,0.049,-16.764,-7.188,-38.18,-206.909,3.0,-55.999,280.0,87.0,11.997,-28.749,0.0,-3.5380000000000003,4.127,33.684,102.95,0.741,-3.512,-224.746,-3.61,-83.03200000000001,1,1
41,-484.884,0.679,2791.192,-2.577,-157.122,-3.491,-135.274,-3.006,3234.7540000000004,4500.590999999999,1265.837,-115.351,8.0,0.0,-1306.807,352.22,-392.999,2.96,47.426,135.407,939.178,0.115,-10.999,-2.1,-21.412,-174.11,15.0,-43.407,209.0,137.0,8.158999999999999,-24.508000000000003,0.0,-3.016,1.3019999999999998,-14.898,19.704,0.675,-3.037,-197.381,-2.998,-215.832,1,1
42,-949.079,0.652,1981.955,-2.359,-109.844,-3.487,-90.932,-2.886,1769.043,3150.393,1381.35,-54.803,16.0,0.0,-2369.722,603.097,-669.4119999999999,5.042,91.879,276.54,1553.005,0.1989999999999999,-88.561,-71.366,-63.273,-166.18200000000002,14.0,-67.788,420.0,102.0,25.465,-89.35600000000001,0.0,-2.639,1.126,-26.275,106.702,0.652,-2.71,-154.461,-2.549,-114.706,1,1
43,-652.54,-1.0,-1.0,-2.959,0.0,0.0,-22.781,-2.759,242.929,825.752,582.823,-21.421,6.0,0.0,-1332.0020000000002,285.77,-405.499,2.174,50.912,124.701,842.177,1.1909999999999998,-35.103,-50.422,-41.484,-97.321,24.0,-35.369,221.0,17.0,22.106,-35.618,0.0,-3.2260000000000004,0.914,-17.025,68.54899999999999,0.0,-2.954,-47.266000000000005,-7.58,-7.58,1,0
44,-540.391,0.787,837.625,-2.946,-53.56399999999999,-4.062,-46.787,-3.548,670.2560000000001,1318.601,648.345,-40.546,7.0,-1.091,-1108.674,268.876,-310.278,2.249,43.694,119.387,680.951,0.233,-32.134,-26.497,-30.584,-81.733,9.0,-29.013,186.0,47.0,5.012,-38.412,0.0,-3.659,1.173,-28.166,24.849,0.7809999999999999,-3.475,-93.83,-3.908,-78.156,1,0
